Date,price,open,high,low,Vol,Change_perc
Feb 22,1357.60,1351.30,1359.80,1349.10,0.99K,0.38%
Feb 21,1352.40,1367.90,1368.40,1351.20,0.86K,-1.46%
Feb 20,1372.50,1371.30,1374.30,1366.30,1.67K,0.21%
Feb 19,1369.60,1349.50,1369.60,1349.00,2.60K,3.01%
Feb 18,1329.55,1324.35,1330.75,1324.05,-,0.40%
Feb 17,1324.25,1324.65,1324.95,1323.85,-,-1.67%
Feb 15,1346.80,1340.40,1350.00,1340.40,0.85K,0.61%
Feb 14,1338.70,1337.00,1342.00,1329.90,0.81K,-0.10%
Feb 13,1340.10,1338.60,1345.20,1333.20,1.88K,0.09%
Feb 12,1338.90,1337.00,1342.10,1336.80,1.07K,0.14%
Feb 11,1337.00,1342.50,1342.70,1333.00,1.26K,-0.50%
Feb 08,1343.70,1337.90,1344.20,1337.90,0.33K,0.32%
Feb 07,1339.40,1335.60,1340.70,1332.00,1.66K,-0.02%
Feb 06,1339.70,1344.90,1344.90,1335.00,0.77K,-0.36%
Feb 05,1344.60,1343.40,1345.70,1340.80,1.25K,0.02%
Feb 04,1344.30,1346.40,1346.40,1338.00,0.53K,-0.21%
Feb 01,1347.10,1349.80,1352.20,1345.90,0.75K,-0.21%
Jan 31,1350.00,1350.60,1354.60,1347.00,2.65K,0.71%
Jan 30,1340.50,1341.30,1353.20,1340.20,1.91K,0.02%
Jan 29,1340.20,1334.20,1341.70,1333.10,9.30K,0.43%
Jan 28,1334.50,1331.90,1334.70,1329.30,0.92K,0.41%
Jan 25,1329.10,1313.10,1333.20,1312.30,0.36K,1.40%
Jan 24,1310.80,1314.00,1314.00,1308.50,0.40K,-0.33%
Jan 23,1315.20,1315.00,1316.30,1309.90,0.92K,0.08%
Jan 22,1314.20,1311.10,1315.80,1308.00,1.37K,2.75%
Jan 21,1279.05,1281.95,1282.95,1276.15,-,-0.23%
Jan 20,1282.05,1281.30,1282.70,1280.50,-,-2.42%
Jan 18,1313.80,1322.00,1322.10,1312.00,0.29K,-0.74%
Jan 17,1323.60,1323.50,1323.50,1319.90,0.48K,-0.11%
Jan 16,1325.10,1321.30,1326.00,1321.30,1.12K,0.41%
Jan 15,1319.70,1324.70,1326.00,1318.10,0.94K,-0.27%
Jan 14,1323.30,1323.10,1327.10,1321.00,1.32K,0.15%
Jan 11,1321.30,1319.30,1325.80,1319.00,0.53K,0.16%
Jan 10,1319.20,1325.00,1328.00,1319.10,0.55K,-0.32%
Jan 09,1323.50,1314.30,1326.00,1312.40,0.58K,0.46%
Jan 08,1317.40,1321.60,1321.60,1312.90,1.01K,-0.31%
Jan 07,1321.50,1317.60,1326.80,1317.60,0.90K,0.31%
Jan 04,1317.40,1328.00,1330.80,1309.60,0.92K,-0.66%
Jan 03,1326.10,1318.70,1327.00,1318.70,1.70K,0.82%
Jan 02,1315.30,1319.90,1320.60,1315.00,0.80K,2.49%
Jan 01,1283.35,1284.70,1284.75,1282.85,-,-2.22%
Dec 31,1312.50,1313.00,1317.10,1311.00,0.53K,-0.09%
